1734878059185: Stored high priority package: Package ID: 3, Status: In Storage, Priority: High
1734878059191: Stored high priority package: Package ID: 1, Status: In Storage, Priority: High
1734878059191: Stored regular priority package: Package ID: 2, Status: In Storage, Priority: Regular
1734878059192: Retrieved high priority package: Package ID: 3, Status: In Storage, Priority: High
1734878059192: Stored high priority package: Package ID: 4, Status: In Storage, Priority: High
1734878059192: Stored high priority package: Package ID: 5, Status: In Storage, Priority: High
1734878059193: Retrieved high priority package: Package ID: 1, Status: In Storage, Priority: High
1734878059193: Retrieved high priority package: Package ID: 4, Status: In Storage, Priority: High
1734878059195: Retrieved high priority package: Package ID: 5, Status: In Storage, Priority: High
1734878059195: Retrieved regular priority package: Package ID: 2, Status: In Storage, Priority: Regular
1734878061191: Stored regular priority package: Package ID: 6, Status: In Storage, Priority: Regular
1734878061210: Stored high priority package: Package ID: 7, Status: In Storage, Priority: High
1734878061211: Stored high priority package: Package ID: 9, Status: In Storage, Priority: High
1734878061211: Stored high priority package: Package ID: 8, Status: In Storage, Priority: High
1734878061212: Stored regular priority package: Package ID: 10, Status: In Storage, Priority: Regular
1734878062198: Retrieved high priority package: Package ID: 7, Status: In Storage, Priority: High
1734878062199: Retrieved high priority package: Package ID: 9, Status: In Storage, Priority: High
1734878062200: Retrieved high priority package: Package ID: 8, Status: In Storage, Priority: High
1734878062201: Retrieved regular priority package: Package ID: 6, Status: In Storage, Priority: Regular
1734878062202: Retrieved regular priority package: Package ID: 10, Status: In Storage, Priority: Regular
1734878063210: Stored regular priority package: Package ID: 11, Status: In Storage, Priority: Regular
1734878063223: Stored high priority package: Package ID: 12, Status: In Storage, Priority: High
1734878063226: Stored regular priority package: Package ID: 13, Status: In Storage, Priority: Regular
1734878063227: Stored regular priority package: Package ID: 14, Status: In Storage, Priority: Regular
1734878063228: Stored regular priority package: Package ID: 15, Status: In Storage, Priority: Regular
1734878065213: Retrieved high priority package: Package ID: 12, Status: In Storage, Priority: High
1734878065214: Retrieved regular priority package: Package ID: 11, Status: In Storage, Priority: Regular
1734878065215: Retrieved regular priority package: Package ID: 13, Status: In Storage, Priority: Regular
