1735977854049: Stored regular priority package: Package ID: 1, Status: In Storage, Priority: Regular
1735977854058: Stored regular priority package: Package ID: 2, Status: In Storage, Priority: Regular
1735977854059: Stored high priority package: Package ID: 3, Status: In Storage, Priority: High
1735977854060: Stored high priority package: Package ID: 4, Status: In Storage, Priority: High
1735977854061: Retrieved high priority package: Package ID: 3, Status: In Storage, Priority: High
1735977854061: Stored regular priority package: Package ID: 5, Status: In Storage, Priority: Regular
1735977854062: Retrieved high priority package: Package ID: 4, Status: In Storage, Priority: High
1735977854064: Retrieved regular priority package: Package ID: 1, Status: In Storage, Priority: Regular
1735977854065: Retrieved regular priority package: Package ID: 2, Status: In Storage, Priority: Regular
1735977854065: Retrieved regular priority package: Package ID: 5, Status: In Storage, Priority: Regular
1735977854262: Stored high priority package: Package ID: 6, Status: In Storage, Priority: High
1735977854264: Stored regular priority package: Package ID: 7, Status: In Storage, Priority: Regular
1735977854264: Stored regular priority package: Package ID: 8, Status: In Storage, Priority: Regular
1735977854264: Stored high priority package: Package ID: 9, Status: In Storage, Priority: High
1735977854264: Stored high priority package: Package ID: 10, Status: In Storage, Priority: High
1735977854364: Retrieved high priority package: Package ID: 6, Status: In Storage, Priority: High
1735977854364: Retrieved high priority package: Package ID: 9, Status: In Storage, Priority: High
1735977854381: Retrieved high priority package: Package ID: 10, Status: In Storage, Priority: High
1735977854382: Retrieved regular priority package: Package ID: 7, Status: In Storage, Priority: Regular
1735977854382: Retrieved regular priority package: Package ID: 8, Status: In Storage, Priority: Regular
1735977854465: Stored high priority package: Package ID: 11, Status: In Storage, Priority: High
1735977854482: Stored high priority package: Package ID: 12, Status: In Storage, Priority: High
1735977854482: Stored high priority package: Package ID: 13, Status: In Storage, Priority: High
1735977854482: Stored regular priority package: Package ID: 15, Status: In Storage, Priority: Regular
1735977854482: Stored regular priority package: Package ID: 14, Status: In Storage, Priority: Regular
1735977854666: Retrieved high priority package: Package ID: 11, Status: In Storage, Priority: High
1735977854667: Retrieved high priority package: Package ID: 12, Status: In Storage, Priority: High
1735977854671: Stored high priority package: Package ID: 16, Status: In Storage, Priority: High
1735977854687: Retrieved high priority package: Package ID: 13, Status: In Storage, Priority: High
1735977854688: Retrieved high priority package: Package ID: 16, Status: In Storage, Priority: High
